Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
1,Mensulas Ino Flotante,Gr-MIF-Elect-Z1A,Gr,MIF,Elect,Z1A
2,Bastidor Tablero,Ide-BT-Sant-Z2B,Ide,BT,Sant,Z2B
3,Rollos Corrugados 3/4,LtPl-RC3/4-Sant-Z2B,LtPl,RC3/4,Sant,Z2B
4,Kalop Conductor Subterraneo 3x1;5 (x125mts),Pei-CS3X1.5-125-Sant-Z2B,Pei,CS3X1.5-125,Sant,Z2B
5,Kalop Conductor Subterraneo 3x2;5 (x150mts),Pei-CS3X2.5-150-Sant-Z2B,Pei,CS3X2.5-150,Sant,Z2B
6,Rollo Manguera Azul 3/4,180º-RMA3/4-Elect-Z1A,180º,RMA3/4,Elect,Z1A
7,Polinam Caño Pvc T/Manguera 3/4(rollox25Mts),9JL-CañPVCT/Mang3/4-Elect-Z1A,9JL,CañPVCT/Mang3/4,Elect,Z1A
8,M.H Conductor Unipolar 10;00 V/Amarillo,9JL-CU10-Y-Elect-Z1A,9JL,CU10-Y,Elect,Z1A
9,Epuyen (Te-00450-NG) Cond. Telefonico 4 pares Subt.782,9JL-CT4P-Elect-Z1A,9JL,CT4P,Elect,Z1A
10,Kalop Conductor Unipolar 1;5 MM Celeste,9JL-CU1.5-C-Elect-Z1A,9JL,CU1.5-C,Elect,Z1A
11,Kalop Conductor Unipolar 1;5MM Rojo,9JL-CU1.5-R-Elect-Z1A,9JL,CU1.5-R,Elect,Z1A
12,Kalop Conductor Unipolar 1;5MM V/Amarillo,9JL-CU1.5-VY-Elect-Z1A,9JL,CU1.5-VY,Elect,Z1A
13,Kalop Conductor Unipolar 1;5MM Blanco,Ab2-CU1.5-W-Elect-Z1A,Ab2,CU1.5-W,Elect,Z1A
14,Kalop Conductor Unipolar 1;5 MM Marron,Ab2-CU1.5-M-Elect-Z1A,Ab2,CU1.5-M,Elect,Z1A
15,Kalop Conductor Unipolar 1;5MM Negro,Ab2-CU1.5-N-Elect-Z1A,Ab2,CU1.5-N,Elect,Z1A
16,Kalop Conductor Unipolar 2;5MM Negro,Ab2-CU2.5-N-Elect-Z1A,Ab2,CU2.5-N,Elect,Z1A
17,Kalop Conductor Unipolar 2;5MM Marron,AN-CU2.5-M-Elect-Z1A,AN,CU2.5-M,Elect,Z1A
18,Kalop Conductor Unipolar 2;5MM Celeste,Lsng-CU2.5-C-Sant-Z2B,Lsng,CU2.5-C,Sant,Z2B
