Fecha,Descripcion,Codigo,Tipo,Centro de Costos,Cantidad,Saldo,Obra Receptora
2025-01-15,Kalop Conductor Unipolar 2;5MM Rojo,AN-CU2.5-R-Elect-Z1A,Ingreso,FlyDac,12,12,
2025-01-15,Kalop Conductor Unipolar 1;5MM Rojo,9JL-CU1.5-R-Elect-Z1A,Ingreso,FlyDac,8,8,
2025-01-15,Kalop Conductor Unipolar 4MM Celeste,Amco-CU4-C-Sant-Z2B,Ingreso,FlyDac,1,1,
2025-01-15,Kalop Conductor Unipolar 2;5MM Celeste,Lsng-CU2.5-C-Sant-Z2B,Ingreso,FlyDac,12,12,
2025-01-15,Kalop Conductor Unipolar 1;5 MM Celeste,9JL-CU1.5-C-Elect-Z1A,Ingreso,FlyDac,8,8,
2025-01-15,Kalop Conductor Unipolar 2;5MM V/Amarillo,Agmt-CU2.5-VY-Elect-Z1A,Ingreso,FlyDac,9,9,
2025-01-15,Kalop Conductor Unipolar 1;5MM V/Amarillo,9JL-CU1.5-VY-Elect-Z1A,Ingreso,FlyDac,8,8,
2025-01-15,Kalop Conductor Unipolar 1;5MM Negro,Ab2-CU1.5-N-Elect-Z1A,Ingreso,FlyDac,3,3,
2025-01-15,Kalop Conductor Unipolar 1;5MM Blanco,Ab2-CU1.5-W-Elect-Z1A,Ingreso,FlyDac,3,3,
2025-01-15,Kalop Conductor Unipolar 6MM Celeste,AN-CU6-C-Elect-Z1A,Ingreso,FlyDac,2,2,
2025-01-15,Kalop Conductor Unipolar 6MM V/Amarillo,Frr-CU6-VY-Sant-Z2B,Ingreso,FlyDac,2,2,
2025-01-15,Reflex 4MM Rojo,Frr-Rflx4-R-Sant-Z2B,Ingreso,FlyDac,4,4,
2025-01-15,Reflex 2;5MM Rojo,Fv-Rflx2;5-R-Sant-Z2B,Ingreso,FlyDac,4,4,
2025-01-15,Reflex 1;5MM Rojo,Tend-Rflx1;5-R-Crrln-Z3G,Ingreso,FlyDac,10,10,
2025-01-15,Reflex 4MM Verde,Aw-Rflx4-V-Sant-Z2B,Ingreso,FlyDac,1,1,
2025-01-15,Reflex 1;5MM Verde,Aw-Rflx1;5-V-Sant-Z2B,Ingreso,FlyDac,8,8,
2025-01-15,Reflex 4MM Celeste,Frr-Rflx4-C-Sant-Z2B,Ingreso,FlyDac,4,4,
2025-01-15,Reflex 2;5MM Celeste,Aw-Rflx2;5-C-Sant-Z2B,Ingreso,FlyDac,1,1,
2025-01-15,Reflex 1;5 MM Celeste,Aw-Rflx1;5-C-Sant-Z2B,Ingreso,FlyDac,10,10,
2025-01-15,Reflex 1;5MM Negro,AN-Rflx1;5-N-Elect-Z1A,Ingreso,FlyDac,2,2,
2025-01-15,Reflex 1;5MM Blanco,Frr-Rflx1;5-B-Sant-Z2B,Ingreso,FlyDac,7,7,
2025-01-16,Varese/Veneto-Tapa Asiento Uf C/Cierre Suave-Linea Varese,Gr-TpaVrse-Elect-Z1A,Ingreso,Don Alberto,2,2,
2025-01-22,Rollo de Lana de Vidrio,Veyk-RollanVid-Elect-Z1A,Ingreso,Don Alberto,1,1,
2025-01-23,Eliane 10x20 Metro White Liso x1M2,Vlcno-Eliane10x20-Sant-Z2B,Ingreso,Pool 460/459,4,4,
2025-01-23,Ilva 45x90 Mediterranea Dig Steel i x 1;22M2,AN-PRCmd122-Elect-Z1A,Ingreso,Pool 460/459,21,21,
2025-01-23,Tend 60x120 C&S Sunny Out x 1;44M2,Aw-PRCout144-Sant-Z2B,Ingreso,Pool 460/459,42,42,
2025-01-23,KlK Imp Flex Anclaje Int x25Kg,Vlcno-ImpFlex-Sant-Z2B,Ingreso,Pool 460/459,40,40,
2025-01-23,Pastina Prestige Perlato x 5 Kg (x bolsa),AN-Pstina-Elect-Z1A,Ingreso,Pool 460/459,10,10,
2025-01-23,Pastina Prestige Perlato x 5 Kg (x bolsa),AN-Pstina-Elect-Z1A,Ingreso,Pool 460/459,18,18,
2025-01-23,Tend 60x120 C&S Sunny In x 1;44 M2,AN-PRCin144-Crrln-Z3G,Ingreso,Pool 460/459,135,135,
