Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
1,Mensulas Ino Flotante,AN-MIF-Sant-Z2B,AN,MIF,Sant,Z2B
2,Bastidor Tablero,AN-BT-Elect-Z1A,AN,BT,Elect,Z1A
3,Rollos Corrugados 3/4,AN-RC3/4-Elect-Z1A,AN,RC3/4,Elect,Z1A
4,Kalop Conductor Subterraneo 3x1;5 (x125mts),Kp-CS3X1.5-125-Elect-Z1A,Kp,CS3X1.5-125,Elect,Z1A
5,Kalop Conductor Subterraneo 3x2;5 (x150mts),Kp-CS3X2.5-150-Elect-Z1A,Kp,CS3X2.5-150,Elect,Z1A
6,Rollo Manguera Azul 3/4,AN-RMA3/4-Elect-Z1A,AN,RMA3/4,Elect,Z1A
7,Polinam Caño Pvc T/Manguera 3/4(rollox25Mts),Pl-CañPVCT/Mang3/4-Elect-Z1A,Pl,CañPVCT/Mang3/4,Elect,Z1A
8,M.H Conductor Unipolar 10;00 V/Amarillo,MH-CU10-Y-Elect-Z1A,MH,CU10-Y,Elect,Z1A
9,Epuyen (Te-00450-NG) Cond. Telefonico 4 pares Subt.782,Ep-CT4P-Elect-Z1A,Ep,CT4P,Elect,Z1A
10,Kalop Conductor Unipolar 1;5 MM Celeste,Kp-CU1.5-C-Elect-Z1A,Kp,CU1.5-C,Elect,Z1A
11,Kalop Conductor Unipolar 1;5MM Rojo,Kp-CU1.5-R-Elect-Z1A,Kp,CU1.5-R,Elect,Z1A
12,Kalop Conductor Unipolar 1;5MM V/Amarillo,Kp-CU1.5-VY-Elect-Z1A,Kp,CU1.5-VY,Elect,Z1A
13,Kalop Conductor Unipolar 1;5MM Blanco,Kp-CU1.5-W-Elect-Z1A,Kp,CU1.5-W,Elect,Z1A
14,Kalop Conductor Unipolar 1;5 MM Marron,Kp-CU1.5-M-Elect-Z1A,Kp,CU1.5-M,Elect,Z1A
15,Kalop Conductor Unipolar 1;5MM Negro,Kp-CU1.5-N-Elect-Z1A,Kp,CU1.5-N,Elect,Z1A
16,Kalop Conductor Unipolar 2;5MM Negro,Kp-CU2.5-N-Elect-Z1A,Kp,CU2.5-N,Elect,Z1A
17,Kalop Conductor Unipolar 2;5MM Marron,Kp-CU2.5-M-Elect-Z1A,Kp,CU2.5-M,Elect,Z1A
18,Kalop Conductor Unipolar 2;5MM Celeste,Kp-CU2.5-C-Elect-Z1A,Kp,CU2.5-C,Elect,Z1A
19,Kalop Conductor Unipolar 2;5MM V/Amarillo,Kp-CU2.5-VY-Elect-Z1A,Kp,CU2.5-VY,Elect,Z1A
20,Kalop Conductor Unipolar 2;5MM Rojo,Kp-CU2.5-R-Elect-Z1A,Kp,CU2.5-R,Elect,Z1A
21,Kalop Conductor Unipolar 4MM Rojo,Kp-CU4-R-Elect-Z1A,Kp,CU4-R,Elect,Z1A
22,Kalop Conductor Unipolar 4MM Celeste,Kp-CU4-C-Elect-Z1A,Kp,CU4-C,Elect,Z1A
23,Kalop Conductor Unipolar 4MM V/Amarillo,Kp-CU4-VY-Elect-Z1A,Kp,CU4-VY,Elect,Z1A
